parent_code,name,productid,sku,price,qty,description,activity,gender,material,special_price
bottle,Affirm Water Bottle,24-UG06,24-UG06,7,100,"<p>You'll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you're drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.</p> <ul> <li>Made of plastic.</li> <li>Grooved sides for an easy grip.</li> </ul>",Yoga Recreation Sports Gym,Men Women Boys Girls Unisex,Plastic,0
bottle,Dual Handle Cardio Ball,24-UG07,24-UG07,12,100,"<p>Make the most of your limited workout window with our Dual-Handle Cardio Ball. The 15-lb ball maximizes the effort-impact to your abdominal, upper arm and lower-body muscles. It features a handle on each side for a firm, secure grip.</p> <ul> <li>Durable plastic shell with sand fill. <li>Two handles. <li>15 lbs. </ul>",Athletic Sports Gym,Men Women Unisex,Plastic,12
bottle,Zing Jump Rope,24-UG04,24-UG04,12,100,"<p>One of the world's simplest and most portable exercise devices, a jump rope enables endless variations and fitness output. The Zing Jump Rope goes anywhere and can be used any time. It is adjustable in length and has contoured foam handles for a great grip.</p> <ul> <li> Contoured foam handles. <li> Adjustable length. </ul>",Gym,Men Women Unisex,Leather Plastic,0
bottle,Pursuit Lumaflex&trade; Tone Band,24-UG02,24-UG02,16,100,"<p>Save your knees and joints while strengthening arms, legs and core with the Pursuit Lumaflex&trade; Tone Band. This ultra-durable training tool lets you complete a full-body workout free of bulky machines or free weights.</p> <ul> <li>Home and/or gym use.</li> <li>Ergonomic handles.</li> </ul>",Gym,Men Women Unisex,Rubber Synthetic,0
bottle,Go-Get'r Pushup Grips,24-UG05,24-UG05,19,100,"<p>The Go-Get'r Pushup Grips safely provide the extra range of motion you need for a deep-dip routine targeting core, shoulder, chest and arm strength. Do fewer pushups using more energy, getting better results faster than the standard floor-level technique yield.</p> <ul> <li>Durable foam grips.</li> <li>Supportive base.</li> </ul>",Athletic Gym,Men Women Unisex,Plastic Rubber,0
bottle,Quest Lumaflex&trade; Band,24-UG01,24-UG01,19,100,"<p>From leg extensions and standing squats to a full range of floor routines, the Quest Strength Band brings your own personal gym with you everywhere you go. Designed to add extra resistance to any training session, this strength band helps you tone and define your muscles. You'll love the extra comfort of its grippy handles and adjustable design.</p> <ul> <li>Adjusts from 30"" to 55"". <li>Grippy comfort handles. <li>Stretchy rubber construction. </ul>",Gym,Men Women Unisex,Leather Plastic Rubber,0
bottle,Sprite Foam Yoga Brick,24-WG084,24-WG084,5,100,"<p>Our top-selling yoga prop, the 4-inch, high-quality Sprite Foam Yoga Brick is popular among yoga novices and studio professionals alike. An essential yoga accessory, the yoga brick is a critical tool for finding balance and alignment in many common yoga poses. Choose from 5 color options.</p> <ul> <li>Standard Large Size: 4"" x 6"" x 9"". <li>Beveled edges for ideal contour grip. <li>Durable and soft, scratch-proof foam. <li>Individually wrapped. <li>Ten color choices. </ul>",Yoga Recreation Sports Gym,Men Women Unisex,Foam,0
bottle,Sprite Foam Roller,24-WG088,24-WG088,19,100,"<p>It hurts so good to use the Sprite Foam Roller on achy, tired muscles for myofascial massage therapy. Or you can add this fundamental piece to your Pilates and yoga accouterment, or apply towards core stability, strengthening and balance exercise. </p> <ul> <li>6'' wide by 12'' long.</li> <li>Safe for myofascial release.</li> <li>EPP or PE foam options.</li> <li>Solid, dense, closed-cell foam.</li> </ul>",Yoga Gym,Men Women Unisex,Foam,0
bottle,Harmony Lumaflex&trade; Strength Band Kit,24-UG03,24-UG03,22,100,"<p>Forget fancy machines and costly memberships - the Harmony Lumaflex&trade; Stength Band Kit is all you need for an amazing workout. The kit has everything you need for a range of strengthening and toning exercises.</p> <ul> <li>Three flex bands.</li> <li>Textured, ergonomic grips.</li> <li>Adjustable lengths.</li> <li>Mesh carry bag included.</li> </ul>",Gym,Men Women Unisex,Leather Plastic Rubber,0
backpack,Joust Duffle Bag,24-MB01,24-MB01,34,100,"<p>The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.<p> <ul> <li>Dual top handles.</li> <li>Adjustable shoulder strap.</li> <li>Full-length zipper.</li> <li>L 29"" x W 13"" x H 11"".</li> </ul>",Waterproof TSA Approved Lockable,Adjustable Cross Body Detachable Double Padded Shoulder,Nylon Polyester,0
backpack,Strive Shoulder Pack,24-MB04,24-MB04,32,100,"<p>Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.</p> <ul> <li>Zippered main compartment.</li> <li>Front zippered pocket.</li> <li>Side mesh pocket.</li> <li>Cell phone pocket on strap.</li> <li>Adjustable shoulder strap and top carry handle.</li> </ul>",Audio Pocket Waterproof Lightweight Laptop Sleeve,Adjustable Cross Body Padded Shoulder Single,Canvas Cotton Mesh Polyester,32
backpack,Crown Summit Backpack,24-MB03,24-MB03,38,100,"<p>The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.</p> <ul> <li>Top handle.</li> <li>Grommet holes.</li> <li>Two-way zippers.</li> <li>H 20"" x W 14"" x D 12"".</li> <li>Weight: 2 lbs, 8 oz. Volume: 29 L.</li> <ul>",Audio Pocket Waterproof Lightweight Reflective Laptop Sleeve,Adjustable Double Padded,Nylon Polyester,0
